,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed,Date
120,saint-pierre,-21.3393,55.4781,65,82.4,0,21.85,1619424763
121,novyy urengoy,66.0833,76.6333,99,32.7,91,15.61,1619424763
122,airai,-8.9266,125.4092,56,68.05,3,2.48,1619424328
123,broome,42.2506,-75.833,69,35.01,90,18.41,1619424370
124,svetlaya,46.5389,138.3297,59,42.51,34,10.78,1619424731
125,jamestown,42.097,-79.2353,86,30.99,90,11.5,1619424163
126,karasjok,69.4719,25.5112,75,35.6,75,8.05,1619424764
127,ormara,25.2088,64.6357,61,84.29,4,15.79,1619424765
128,muros,42.7762,-9.0603,94,57.0,62,1.01,1619424765
129,sao felix do xingu,-6.6447,-51.995,98,71.49,96,1.07,1619424765
130,provideniya,64.3833,-173.3,94,32.65,74,1.01,1619424345
131,clyde river,70.4692,-68.5914,93,23.0,90,2.3,1619424337
132,hithadhoo,-0.6,73.0833,66,82.96,8,4.68,1619424113
133,manokwari,-0.8667,134.0833,78,81.5,78,5.26,1619424446
134,talara,-4.5772,-81.2719,78,70.72,100,15.64,1619424566
135,brufut,13.3814,-16.7518,83,69.8,0,5.75,1619424767
136,pingzhuang,42.0372,119.2889,33,69.06,100,14.61,1619424767
137,whitehorse,60.7161,-135.0538,31,44.6,1,2.3,1619424768
138,petrivka,46.9695,30.9591,76,51.8,20,13.42,1619424768
139,liusha,27.2098,108.59,80,59.97,100,3.22,1619424768
140,klaksvik,62.2266,-6.589,87,44.6,100,10.36,1619424331
141,sinnamary,5.3833,-52.95,90,76.6,100,9.08,1619424571
142,tiksi,71.6872,128.8694,95,22.77,100,13.6,1619424332
143,arraial do cabo,-22.9661,-42.0278,90,72.21,9,5.48,1619424412
144,lompoc,34.6391,-120.4579,87,51.8,100,3.44,1619424410
145,beidao,34.5686,105.8933,16,52.0,100,1.99,1619424403
146,walvis bay,-22.9575,14.5053,94,63.0,20,1.14,1619424770
147,zhezkazgan,47.8043,67.7144,31,67.06,98,8.61,1619424770
148,port-gentil,-0.7193,8.7815,84,84.2,40,5.75,1619424770
149,huarmey,-10.0681,-78.1522,88,66.6,22,6.35,1619424482
150,comarapa,-17.9,-64.4833,94,46.71,54,1.03,1619424771
151,mahebourg,-20.4081,57.7,83,78.8,75,13.8,1619424355
152,paamiut,61.994,-49.6678,98,34.54,100,7.09,1619424772
153,souillac,-20.5167,57.5167,83,78.8,75,14.97,1619424772
154,wamba,8.9333,8.6,60,83.26,100,3.51,1619424773
155,maraba,-5.3686,-49.1178,98,75.2,90,2.3,1619424773
